,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
24,Drôle D'Oiseau Grenache - Syrah Rosé,Drôle D'Oiseau Grenache - Syrah Rosé 2021,2021,Pays d'Oc,0,Gérard Bertrand,7.65,3.8,131
25,Ecceterra Rosé,Ecceterra Rosé 2022,2022,Hérault,0,Domaine du Clos Roca,7.8,3.3,37
26,Bohème,Bohème 2021,2021,Pays d'Oc,0,Domaine Deleuze-Rochetin,7.8,3.7,70
27,Péché Coquin Rosé,Péché Coquin Rosé 2022,2022,Pays d'Oc,0,Domaine la Provenquière,7.8,3.8,186
28,Cinsault Rosé,Cinsault Rosé 2022,2022,Pays d'Oc,0,Les Jamelles,7.85,3.7,1235
29,Clair de Rose,Clair de Rose 2022,2022,Pays d'Oc,0,Les Jamelles,7.85,3.5,1516
30,Violon d'Ingres Rosé,Violon d'Ingres Rosé 2022,2022,Alpilles,0,Domaine le Grand Castelet,7.8966666666666665,3.9,71
31,Rosé,Rosé 2022,2022,Pays d'Oc,0,L'Ostal Cazes,7.9,3.8,5376
32,Pinot Grigio Blush,Pinot Grigio Blush 2021,2021,delle Venezie,0,Campagnola,7.9,4.0,153
33,Gris de Gris,Gris de Gris 2022,2022,Sable de Camargue,0,Dune (Caveau Les Sablons),7.95,3.8,5701
34,Les Petites Demoiselles Rosé,Les Petites Demoiselles Rosé 2022,2022,Côtes Catalanes,0,Mas Cremat,8.0,3.9,31
35,Cameleon Pink Shiraz,Cameleon Pink Shiraz 2019,2019,Dealu Mare,0,Lacerta,8.0,3.5,163
36,Nova Ona Rosé,Nova Ona Rosé 2022,2022,Languedoc-Roussillon,0,Chateau des Hospices,8.0,3.9,51
37,Bordeaux Rosé,Bordeaux Rosé 2022,2022,Bordeaux,0,Château Turcaud,8.0,3.4,104
38,Rozy,Rozy 2022,2022,Côtes Catalanes,0,Dom Brial,8.0,3.5,292
39,Classique Luberon Rosé,Classique Luberon Rosé 2022,2022,Luberon,0,Marrenon,8.0,3.3,55
40,Vin d'Une Nuit Bergerac Rosé,Vin d'Une Nuit Bergerac Rosé 2019,2019,Bergerac Rosé,0,Haut Montlong,8.016666666666667,3.5,109
41,L'Effrontee Rosé,L'Effrontee Rosé 2022,2022,Méditerranée,0,Château Les Valentines,8.1,3.8,96
42,Château Ballan-Larquette Bordeaux Rosé,Château Ballan-Larquette Bordeaux Rosé 2020,2020,Bordeaux,0,Vignobles Chaigne et Fils,8.196666666666667,3.7,46
43,No. 6 Rosé,No. 6 Rosé 2021,2021,Côtes de Gascogne,0,Uby,8.2,3.8,843
44,Cuvée Expression Costières de Nîmes Rosé,Cuvée Expression Costières de Nîmes Rosé 2022,2022,Costières-de-Nîmes,0,Château Beaubois,8.23,3.6,169
45,Grenache Gris,Grenache Gris 2022,2022,Pays d'Oc,0,Château Salitis,8.28,3.7,44
46,Sand Rosé,Sand Rosé 2022,2022,Côtes de Provence,0,Domaine Tropez,8.3,4.0,462
47,Terra Sana Pays D'Oc  Rosé,Terra Sana Pays D'Oc  Rosé 2018,2018,Pays d'Oc,0,François Lurton,8.32,3.6,52
48,Cuvée Jules Corbieres,Cuvée Jules Corbieres 2022,2022,Corbières,0,Domaine Py,8.33,3.6,131
49,Closi Le Petit Rosé,Closi Le Petit Rosé 2022,2022,Méditerranée,0,Domaine Boudau,8.4,3.6,105
50,Les Platanes Rosé Fruité,Les Platanes Rosé Fruité 2022,2022,Vin de France,0,Chateau Saint Jean,8.496666666666666,3.9,91
51,Havana,Havana 2019,2019,Minervois,0,Château Tourril,8.496666666666666,3.9,45
52,Rosé,Rosé 2022,2022,Côtes Catalanes,0,Domaine Grier,8.5,3.7,55
53,Rosé,Rosé 2022,2022,Méditerranée,0,Figuière,8.5,3.9,1102
54,Les Cistes Rosé,Les Cistes Rosé 2021,2021,Pays d'Oc,0,Les Vignerons du Sommiérois,8.5,3.6,223
55,Rosé,Rosé 2021,2021,Fronton,0,Inès,8.5,3.9,337
56,C'est Trop,C'est Trop 2022,2022,Méditerranée,0,Les Mâitres Vignerons de la Presqu'île de Saint-Tropez,8.5,3.6,907
57,Les Villas Villa la Vie en Rose,Les Villas Villa la Vie en Rose 2022,2022,Comté-tolosan,0,Lionel Osmin & Cie,8.5,3.8,1244
